City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
237,Batemans Bay,AU,-35.7167,150.1833,83.19,45,81,6.44,broken clouds
238,Tignere,CM,7.3667,12.65,67.75,19,45,2.55,scattered clouds
239,Krasnoselkup,RU,65.7,82.4667,-3.21,94,73,13.35,broken clouds
240,Alakurtti,RU,66.9672,30.3491,17.64,96,100,3.0,light snow
241,Oum Hadjer,TD,13.2954,19.6966,74.86,12,97,9.17,overcast clouds
242,Maragogi,BR,-9.0122,-35.2225,80.65,73,35,12.8,scattered clouds
243,Kangaatsiaq,GL,68.3065,-53.4641,-7.94,94,83,20.78,broken clouds
244,Niceville,US,30.5169,-86.4822,51.91,35,0,10.36,clear sky
245,Kumbo,CM,6.2,10.6667,62.33,22,45,5.68,scattered clouds
246,Hami,CN,42.8,93.45,24.35,45,32,4.74,scattered clouds
247,Geraldton,AU,-28.7667,114.6,77.41,78,75,5.75,broken clouds
248,Mahebourg,MU,-20.4081,57.7,81.25,89,40,9.22,scattered clouds
249,Kralendijk,BQ,12.15,-68.2667,78.78,73,40,14.97,scattered clouds
250,Coquimbo,CL,-29.9533,-71.3436,66.07,74,3,5.41,clear sky
251,Yulara,AU,-25.2406,130.9889,86.2,13,4,10.4,clear sky
252,Belawan,ID,3.7755,98.6832,76.33,92,78,4.74,broken clouds
253,Grand Gaube,MU,-20.0064,57.6608,81.37,78,94,7.0,overcast clouds
254,Quatre Cocos,MU,-20.2078,57.7625,81.09,87,89,15.32,light rain
255,Rocha,UY,-34.4833,-54.3333,57.92,67,3,5.1,clear sky
256,Capoeiras,BR,-8.7347,-36.6267,69.98,79,87,12.86,overcast clouds
257,Karaidel,RU,55.8337,56.9069,1.9,100,100,2.42,overcast clouds
258,Half Moon Bay,US,37.4636,-122.4286,81.52,46,40,3.44,scattered clouds
259,Alugan,PH,12.2188,125.4808,79.59,78,98,12.01,overcast clouds
260,Kaitangata,NZ,-46.2817,169.8464,60.93,66,23,5.97,few clouds
261,Batagay-Alyta,RU,67.8006,130.4114,-11.72,79,100,4.54,overcast clouds
262,Dongsheng,CN,39.8161,109.9776,9.3,58,85,1.66,overcast clouds
263,Saint-Georges,GD,12.0564,-61.7485,77.43,71,17,14.76,few clouds
264,Mount Pleasant,US,32.7941,-79.8626,59.09,55,100,10.36,overcast clouds
265,Tilichiki,RU,60.4667,166.1,-14.22,91,10,10.42,clear sky
266,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,40,9.22,light rain
267,Abu Samrah,SY,35.3029,37.1841,46.45,72,1,7.9,clear sky
268,Lata,PT,40.1629,-8.3327,53.82,93,57,3.33,broken clouds
269,Keti Bandar,PK,24.1447,67.4497,67.57,63,0,7.11,clear sky
270,Waddan,LY,29.1614,16.139,51.76,46,0,10.33,clear sky
271,Dangara,IN,29.6799,75.8931,49.73,73,0,5.06,clear sky
272,Ihosy,MG,-22.4,46.1167,68.16,85,58,7.07,broken clouds
273,Ahipara,NZ,-35.1667,173.1667,69.53,56,81,9.19,broken clouds
274,Marsa Matruh,EG,31.3525,27.2453,56.23,70,0,8.19,clear sky
275,Macomb,US,40.4592,-90.6718,15.87,67,0,6.91,clear sky
276,Mapiripan,CO,2.8892,-72.1256,82.36,50,90,5.1,overcast clouds
277,Westport,US,41.1415,-73.3579,29.75,71,100,10.36,overcast clouds
278,Haines Junction,CA,60.7522,-137.5108,20.89,94,100,1.05,overcast clouds
279,Sadovyy,RU,53.3,34.3333,21.76,92,84,11.18,broken clouds
280,Vardo,NO,70.3705,31.1107,24.17,91,100,20.87,light snow
281,Viedma,AR,-40.8135,-62.9967,80.47,22,1,3.76,clear sky
282,Maceio,BR,-9.6658,-35.7353,81.19,75,64,14.16,broken clouds
283,Suozhen,CN,36.9539,118.1047,28.09,82,99,9.17,overcast clouds
284,Tezu,IN,27.9167,96.1667,51.57,42,0,4.94,clear sky
285,Gamba,GA,-2.65,10.0,77.34,86,100,3.31,overcast clouds
286,Deputatskiy,RU,69.3,139.9,-11.94,94,78,5.19,broken clouds
287,Port Elizabeth,ZA,-33.918,25.5701,68.59,86,43,7.56,light rain
288,Yatou,CN,37.15,122.3833,33.13,92,100,17.56,light snow
289,Kidal,ML,18.4411,1.4078,68.13,14,22,10.67,few clouds
290,Groningen,NL,53.25,6.75,51.03,69,100,18.41,overcast clouds
291,Jampur,PK,29.6441,70.5954,56.01,39,2,9.86,clear sky
292,Dicabisagan,PH,17.0818,122.4157,77.49,85,84,5.73,broken clouds
293,Talcahuano,CL,-36.7167,-73.1167,60.24,84,64,9.35,broken clouds
294,Angahuan,MX,19.55,-102.1833,53.1,51,99,1.19,overcast clouds
295,Muros,ES,42.7762,-9.0603,53.24,90,18,18.66,few clouds
296,Jiazi,CN,22.8779,116.067,57.6,83,97,10.6,overcast clouds
297,Ilhabela,BR,-23.7781,-45.3581,74.95,89,46,8.57,scattered clouds
298,Dingle,PH,10.9995,122.6711,78.48,83,91,7.99,overcast clouds
299,Salmo,CA,49.1999,-117.2689,41.88,73,81,1.99,broken clouds
300,Dmitriyevka,RU,54.75,55.3333,11.48,100,95,4.09,overcast clouds
301,Taoudenni,ML,22.6783,-3.9836,61.54,26,0,10.47,clear sky
302,Tabou,CI,4.423,-7.3528,76.75,89,71,2.77,light rain
303,Luanda,AO,-8.8368,13.2343,76.86,85,100,2.04,overcast clouds
304,Ribeira Grande,PT,38.5167,-28.7,58.03,69,100,9.31,overcast clouds
305,Eydhafushi,MV,5.1033,73.0708,80.89,76,92,7.81,light rain
306,Sorland,NO,67.667,12.6934,33.96,53,98,23.0,light snow
307,Hit,IQ,33.6416,42.8251,54.23,42,0,8.79,clear sky
308,Teguldet,RU,57.3064,88.1667,-0.56,94,69,9.66,broken clouds
309,Takoradi,GH,4.8845,-1.7554,78.75,85,57,6.33,light rain
310,Vila Velha,BR,-20.3297,-40.2925,75.15,97,100,3.44,overcast clouds
311,Taltal,CL,-25.4,-70.4833,68.4,76,20,4.59,few clouds
312,Waterford,US,42.7023,-83.4027,16.72,72,75,6.91,broken clouds
313,Mao,ES,39.8885,4.2658,54.16,76,75,11.5,broken clouds
314,Kutum,SD,14.2,24.6667,60.08,18,7,9.04,clear sky
315,Rognan,NO,67.0953,15.3878,30.88,90,99,8.68,snow
316,Hovd,MN,48.0056,91.6419,-13.97,77,25,3.56,scattered clouds
317,Saint-Louis,SN,16.3333,-15.0,71.08,16,54,9.64,broken clouds
318,Erdenet,MN,49.0333,104.0833,-15.99,99,100,0.63,overcast clouds
319,Vallenar,CL,-28.5708,-70.7581,70.7,49,0,4.16,clear sky
320,Victor Harbor,AU,-35.5667,138.6167,85.8,80,27,9.22,scattered clouds
321,Maniitsoq,GL,65.4167,-52.9,1.27,88,100,8.46,overcast clouds
322,Bereda,ES,43.2686,-7.5406,46.92,100,97,7.16,light rain
323,Kloulklubed,PW,7.0419,134.2556,79.3,82,98,21.68,overcast clouds
324,Wanxian,CN,30.8039,108.3897,45.39,80,44,3.67,scattered clouds
325,Ajdabiya,LY,30.7554,20.2263,53.24,75,0,6.73,clear sky
326,Nome,US,64.5011,-165.4064,-5.73,65,0,0.0,clear sky
327,Broome,US,42.2506,-75.833,18.63,68,40,10.36,scattered clouds
328,Sorong,ID,-0.8833,131.25,78.33,88,93,7.4,overcast clouds
329,Puerto Escondido,MX,15.85,-97.0667,85.03,70,75,5.75,broken clouds
330,Bonfim,BR,3.0833,-59.95,84.07,57,87,10.36,overcast clouds
331,Samfya,ZM,-11.3649,29.5565,63.9,96,98,6.67,light rain
332,Lugovoy,KZ,42.9472,72.7644,29.73,75,100,3.96,overcast clouds
333,Malanje,AO,-9.5402,16.341,63.64,95,100,2.17,light rain
334,Aquiraz,BR,-3.9014,-38.3911,83.17,83,15,9.33,few clouds
335,Galle,LK,6.0367,80.217,73.99,86,97,5.61,overcast clouds
336,Touros,BR,-5.1989,-35.4608,80.4,75,6,13.31,clear sky
337,Amahai,ID,-3.3333,128.9167,78.39,83,100,2.64,overcast clouds
338,Machico,PT,32.7,-16.7667,61.43,63,40,13.8,scattered clouds
339,Sokoto,NG,13.0609,5.239,72.97,12,10,10.09,clear sky
340,Rundu,NA,-17.9333,19.7667,66.36,85,83,2.66,broken clouds
341,Sao Filipe,CV,14.8961,-24.4956,73.71,68,64,9.98,broken clouds
342,Gien,FR,47.6933,2.6309,52.45,68,100,20.67,overcast clouds
343,Osakarovka,KZ,50.565,72.5692,19.42,96,97,7.27,overcast clouds
344,Kajaani,FI,64.2273,27.7285,32.05,100,100,8.05,overcast clouds
345,Makakilo City,US,21.3469,-158.0858,80.92,46,75,14.97,broken clouds
